NAME,TEAM,GP,MIN,PTS,AST,OREB,DREB,REB,STL,BLK,TOV,PF,+/-,DD2,TD3,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%
Mike Muscala,OKC,43,13.8,8.0,0.5,0.5,2.5,3.0,0.4,0.6,0.3,1.3,0.5,0,0,2.6,5.8,0.456,1.6,3.8,0.429,1.1,1.3,0.842
Miles Bridges,CHA,78,35.6,20.3,3.8,1.1,5.9,7.0,0.9,0.8,1.9,2.5,1.6,15,0,7.5,15.3,0.492,1.9,5.8,0.33,3.4,4.2,0.8
Miles McBride,NYK,39,9.1,2.2,1.0,0.1,0.9,1.1,0.3,0.0,0.1,1.1,2.7,0,0,0.8,2.6,0.301,0.4,1.6,0.25,0.2,0.3,0.667
Mitchell Robinson,NYK,72,25.7,8.5,0.5,4.1,4.5,8.6,0.8,1.8,0.8,2.7,-1.1,20,0,3.6,4.8,0.761,0.0,0.0,0.0,1.2,2.5,0.486
Miye Oni,UTA,16,2.8,0.3,0.3,0.1,0.4,0.4,0.0,0.0,0.1,0.4,-2.0,0,0,0.1,0.6,0.222,0.1,0.5,0.125,0.0,0.1,0.0
Mo Bamba,ORL,70,25.7,10.5,1.2,2.1,5.9,8.0,0.5,1.7,1.1,2.6,-5.4,19,0,4.1,8.7,0.477,1.5,3.9,0.375,0.8,1.0,0.786
Monte Morris,DEN,74,29.9,12.6,4.4,0.3,2.7,3.0,0.8,0.2,1.0,1.2,3.8,0,0,5.0,10.3,0.484,1.6,4.2,0.394,1.0,1.1,0.869
Montrezl Harrell,CHA,69,23.1,13.2,2.0,2.1,4.0,6.1,0.4,0.6,1.0,1.9,0.7,7,0,5.0,7.8,0.641,0.1,0.2,0.235,3.1,4.3,0.716
Moritz Wagner,ORL,62,15.0,8.9,1.3,0.7,2.9,3.6,0.3,0.2,0.9,2.0,-2.5,2,0,3.1,6.2,0.499,1.0,3.1,0.33,1.6,2.0,0.803
Moses Brown,CLE,38,8.7,4.2,0.0,1.0,2.5,3.5,0.2,0.4,0.5,1.3,-0.8,3,0,1.6,2.7,0.578,0.0,0.0,0.0,1.1,1.9,0.597
Moses Moody,GSW,50,11.7,4.4,0.4,0.3,1.2,1.6,0.1,0.2,0.3,0.8,-0.9,0,0,1.5,3.6,0.43,0.8,2.2,0.352,0.6,0.7,0.778
Moses Wright,DAL,3,2.3,1.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,-1.7,0,0,0.3,1.3,0.25,0.0,0.3,0.0,0.3,0.3,1.0
Mychal Mulder,MIA,16,12.3,3.6,0.2,0.1,1.3,1.4,0.3,0.1,0.5,0.8,-3.1,0,0,1.3,4.3,0.309,0.9,2.9,0.298,0.1,0.1,1.0
Myles Powell,PHI,11,4.7,1.2,0.3,0.1,0.5,0.5,0.1,0.0,0.3,0.7,-1.6,0,0,0.5,1.5,0.294,0.1,0.5,0.167,0.2,0.2,1.0
Myles Turner,IND,42,29.4,12.9,1.0,1.5,5.5,7.1,0.7,2.8,1.3,2.8,-0.3,9,0,4.8,9.4,0.509,1.5,4.4,0.333,1.9,2.5,0.752
Naji Marshall,NOP,52,13.0,5.5,1.0,0.7,1.9,2.6,0.6,0.1,0.8,1.3,-0.5,1,0,1.9,4.7,0.402,0.4,1.9,0.212,1.3,1.6,0.788
